"ID","Projeto","Claim","Fonte","Verificacao","Dataset","Nivel_T","Nivel_E","Resultado","Status","Confianca"
"CR03","cripto-predictor","Metodologia estatística tem poder de detectar sinal quando existe","test_positive_control.py","Execução real","N/A","T3","N/A","3/3 controles positivos/negativos/ruído corretamente classificados","CONFIRMADO (não é prova de edge real)","Alta"
"CR04","cripto-predictor","832 testes passam","implícito","Execução real (uv sync + pytest)","N/A","T3","N/A","832 passed, 2 skipped (deps opcionais ausentes)","CONFIRMADO","Alta"
"CR05","cripto-predictor","H6 (LLM invertido) está em coleta prospectiva ativa","HANDOFF mais recente","h6_status.json commitado","PRESENTE","T1","E1","n=0 no artefato commitado mais recente (2026-08-24), 7 dias antes do congelamento sem atualização visível","MISSING EVIDENCE (estagnação não confirmável nem refutável)","Média"
"CR06","cripto-predictor","Camada trading/ foi construída após validação de edge","política declarada do projeto (B8)","git log, HANDOFF-2026-08-14","N/A","T2","E0","Construída em 2026-08-14, ANTES de qualquer hipótese validar edge, override explícito de governança","CONTRADITORIO (prática vs política declarada)","Alta"
"CR07","cripto-predictor","Denominador N do Deflated Sharpe Ratio conta todas as tentativas","implícito na metodologia DSR","Leitura de código + histórico de commits","N/A","T2","N/A","Kelly-sweep e run_threshold_grid (varreduras internas a uma trial nomeada) não entram no N=7","PARCIALMENTE CONFIRMADO (risco real para resultados futuros)","Média-alta"
"BR01","brasileirao-predictor","Modelo bate o mercado (odds) em qualidade de previsão","implícito na tese original","Cross-check de reports/*.json vs trials.json (H12) + leitura de RELATORIO_FINAL_CONSOLIDADO","PARCIAL","T1","E2","Modelo perde do agregado Sofascore em RPS/Brier/logloss nas 4 temporadas (2021-2024, n=1318), RPS agregado +0.0112","INVALIDADO","Média-alta (numeros nao recalculados por falta de banco)"
"BR02","brasileirao-predictor","Suíte de testes passa integralmente","implícito","Execução real","N/A","T5","N/A","873 passed, 1 skipped, 1 deselecionado (261.78s)","CONFIRMADO","Alta"
"BR03","brasileirao-predictor","Correção do clip silencioso de rho (Dixon-Coles) está implementada","AUDITORIA_MATEMATICA_E_CORRECOES_2026-08-26.md item 2","Leitura de código (src/dixon_coles.py)","N/A","T3","N/A","ValueError explícito confirmado no código atual","CONFIRMADO (não STALE)","Alta"
"BR04","brasileirao-predictor","Odds usadas nos grandes benchmarks são point-in-time","implícito","Auditoria interna 28/08 sobre cópia do banco operacional","PARCIAL","T1","E1","99.2% dos snapshots de odds (24942/25142) são pre_match=0, não elegíveis como PIT","INVALIDADO (para a fonte agregada)","Média (claim documental de terceira mão"
"BR05","brasileirao-predictor","OU2.5/2025 (ROI +23.65%) é evidência de edge capturável","docs/HANDOFF_OU25_RODADA_2026_08_29.md","Leitura de trials.json + reconhecimento do próprio time","PARCIAL","T1","E2","Resultado retrospectivo, ~80 configs exploradas sem correção formal de multiplicidade, odds pós-jogo aproximadas, 2025 não é mais holdout cego - o próprio time rotula como não executável","INCONCLUSIVO / CONTAMINADO (endosso do proprio projeto)","Alta"
"BR06","brasileirao-predictor","Coletor A1 (arbitragem Pinnacle x soft) está operacional","docs/experiments/STRUCTURAL_EDGE_SHADOW_PROTOCOL.md","Verificação de 3 checkpoints datados (24/08,26/08,28/08)","PRESENTE","T1","E1","NOT_STARTED de forma consistente nos 3 checkpoints; automação desligada 28/08 por pedido do usuário","INVALIDADO (nao operacional)","Alta"
"ST01","stocks-predictor","'RJ' no nome da linha ativa significa Recuperação Judicial","docs/RJ_DESIGN.md","Leitura direta do protocolo","N/A","T1","N/A","Confirmado; tese é event-driven distressed investing em ações em RJ na B3","CONFIRMADO","Alta"
"ST02","stocks-predictor","H1-H8 (fatores) foram testadas com dado real (COTAHIST)","HANDOFF.md","Leitura de relatórios + git log; dado bruto ausente no ambiente","AUSENTE","T1","E2","Circunstancialmente convincente (tickers/aprovador nomeados) mas não reproduzível de primeira mão","PARCIALMENTE CONFIRMADO","Média"
"ST03","stocks-predictor","Linha RJ tem dado real coletado","config_rj.yaml / STOCKS_CURRENT_STATE.md (M0 declarado)","Execução real de audit_db.py sobre banco recriado pelos testes","PRESENTE","T5","E1","13 tabelas RJ, incluindo rj_universe/rj_episodes/rj_events, TODAS com 0 linhas","CONFIRMADO (M0 absoluto)","Alta"
"ST04","stocks-predictor","predictor-ops é usado operacionalmente por stocks-predictor","pyproject.toml (dependência declarada)","Grep exaustivo todos os tipos de arquivo","N/A","T4","N/A","Zero uso funcional em src/main.py; só smoke-import CI e assert em conftest","INVALIDADO","Alta"
"ST05","stocks-predictor","Barreira anti-lookahead do predictor_core (PastView) é estruturalmente impossível de contornar","docstring de replay.py","Execução real de poc_leak.py","N/A","T4","N/A","Contornável lendo o atributo interno _data; nenhuma proteção real além de convenção de underscore","INVALIDADO","Alta"
"ST06","stocks-predictor","Disclaimer 'sintético só valida a máquina' foi removido dos relatórios H6/H8 por estar obsoleto","HANDOFF.md","Leitura direta de src/report.py e dos relatórios regenerados pelo mesmo commit","N/A","T3","N/A","O texto continua presente, incondicional, no código e nos relatórios atuais","CONTRADITORIO / INVALIDADO (claim do HANDOFF)","Alta"
"ST07","stocks-predictor","Poder estatístico da linha RJ é adequado para o universo real de empresas","implícito no desenho","Execução real de src/rj_power.py com múltiplos N/efeitos","PRESENTE","T5","E2","N=40, efeito grande (1sigma): 68% de poder - abaixo do convencional 80%; N=20, efeito 0.5sigma: 2%","INVALIDADO (subdimensionado)","Alta"
"ST08","stocks-predictor","242 testes passam com wheels oficiais (sem shim vendor)","implícito","Execução real, uv sync + pytest","N/A","T5","N/A","242 passed em 95.41s, 0 falhas","CONFIRMADO","Alta"
"XX01","ecossistema (transversal)","Zero hipóteses econômicas aprovadas para capital em todo o ecossistema","VEREDITOS_2026-07-26.md (42 hipóteses registradas)","capability_snapshot() real executado contra os 3 domínios instalados","N/A","T5","E0","capital_permission=FORBIDDEN confirmado ao vivo para cripto/brasileirao/stocks em 31/08","CONFIRMADO","Alta"
"XX02","ecossistema (transversal)","O ecossistema sempre teve 6 repositórios / 3 domínios econômicos","implícito na composição atual","Cruzamento de ecosystem-predictor (ADR 0001, snapshot 9 repos) + predictor-ops (HANDOFF deletado, 5 domínios)","N/A","T4","N/A","Ecossistema encolheu de ~9 repos/5 domínios para os 6/3 atuais em ~40 dias","INVALIDADO (não sempre foi assim) / STALE em multiplos docs","Alta"
